date,code,close,volumn,return,change,marketcap
2019-01-02,600897,20.75,13129,-2.54,-0.54,66.35
2019-01-03,600897,21.5,18155,3.61,0.75,66.35
2019-01-04,600897,21.34,14067,-0.74,-0.16,66.35
2019-01-07,600897,21.61,12975,1.27,0.27,66.35
2019-01-08,600897,21.44,6837,-0.79,-0.17,66.35
2019-01-09,600897,21.44,12650,0,0,66.35
2019-01-10,600897,21.53,9835,0.42,0.09,66.35
2019-01-11,600897,21.68,10740,0.7,0.15,66.35
2019-01-14,600897,22,13707,1.48,0.32,66.35
2019-01-15,600897,22,11956,0,0,66.35
2019-01-16,600897,22.28,11554,1.27,0.28,66.35
2019-01-17,600897,22.44,17594,0.72,0.16,66.35
2019-01-18,600897,22.44,13417,0,0,66.35
2019-01-21,600897,22.39,11969,-0.22,-0.05,66.35
2019-01-22,600897,22.28,9839,-0.49,-0.11,66.35
2019-01-23,600897,22.36,7490,0.36,0.08,66.35
2019-01-24,600897,22.84,14205,2.15,0.48,66.35
2019-01-25,600897,22.89,10678,0.22,0.05,66.35
2019-01-28,600897,22.42,12316,-2.05,-0.47,66.35
2019-01-29,600897,22.55,10160,0.58,0.13,66.35
2019-01-30,600897,22.11,11695,-1.95,-0.44,66.35
2019-01-31,600897,21.8,12967,-1.4,-0.31,66.35
2019-02-01,600897,22.7,15279,4.13,0.9,66.35
2019-02-11,600897,22.77,14991,0.31,0.07,66.35
2019-02-12,600897,22.48,23282,-1.27,-0.29,66.35
2019-02-13,600897,22.58,22743,0.44,0.1,66.35
2019-02-14,600897,22.36,21420,-0.97,-0.22,66.35
2019-02-15,600897,22.14,16167,-0.98,-0.22,66.35
2019-02-18,600897,22.6,24805,2.08,0.46,66.35
2019-02-19,600897,22.53,22384,-0.31,-0.07,66.35
2019-02-20,600897,22.34,10887,-0.84,-0.19,66.35
2019-02-21,600897,22.12,22202,-0.98,-0.22,66.35
2019-02-22,600897,22.41,18854,1.31,0.29,66.35
2019-02-25,600897,23.12,29569,3.17,0.71,68.85
2019-02-26,600897,22.89,26904,-0.99,-0.23,68.85
2019-02-27,600897,22.7,23731,-0.83,-0.19,68.85
2019-02-28,600897,22.73,17532,0.13,0.03,68.85
2019-03-01,600897,22.75,16567,0.09,0.02,68.85
2019-03-04,600897,23.06,38268,1.36,0.31,68.85
2019-03-05,600897,23.49,24389,1.86,0.43,68.85
2019-03-06,600897,23.72,24121,0.98,0.23,68.85
2019-03-07,600897,23.47,27532,-1.05,-0.25,68.85
